row_id,description,player_counts_min_players,player_counts_max_players,playtime_min_playtime,playtime_max_playtime,boardgame,minimum_age,game_info_release_year,game_info_categories,game_info_mechanisms,game_info_family,credits_designers,credits_solo_designer,credits_artists,credits_publishers,credits_developer,credits_graphic_designer,credits_sculptor,credits_editor,credits_writer,credits_insert_designer,game_stats_average_rating,game_stats_num_of_ratings,game_stats_std_deviation,game_stats_weight,game_stats_comments,game_stats_fans,game_stats_page_views,ranks_overall,ranks_strategy,play_stats_all_time_plays,play_stats_this_month_plays,collection_stats_own,collection_stats_previously_owned,collection_stats_for_trade,collection_stats_want_in_trade,collection_stats_wishlist,ratings_rated_1,ratings_rated_2,ratings_rated_3,ratings_rated_4,ratings_rated_5,ratings_rated_6,ratings_rated_7,ratings_rated_8,ratings_rated_9,ratings_rated_10,link_to_game,suggested_retail_price_usd,amazon_price_usd,boardgamebliss_price_cad,boardgamebliss_price_usd,philibert_price_eur,philibert_price_usd,zatu_games_price_gbp,zatu_games_price_usd,ebay_price_usd,ranks_thematic,cardhaus_games_price_usd,miniature_market_price_usd,noble_knight_games_price_usd,boardtopia_price_usd,k&b_hobbies_and_games_price_cad,k&b_hobbies_and_games_price_usd,zulu's_board_game_cafe_price_usd,elevated_board_games_price_usd,collector_store_llc_price_usd,ranks_war,usedgames.ca_price_cad,usedgames.ca_price_usd,stonemaier_games_price_usd,ranks_customizable,ranks_family,ranks_abstract,renegade_game_studios_price_usd,ranks_party,fowers_games_price_usd,ranks_children's,bgg_store_price_usd
1,"Build networks, grow industries, and navigate the world of the Industrial Revolution.",2,4,60.0,120.0,Brass: Birmingham,14.0,2018.0,Age of Reason;Economic;Industry / Manufacturing;Post-Napoleonic;Trains;Transportation,Chaining;End Game Bonuses;Hand Management;Income;Loans;Market;Multi-Use Cards;Network and Route Building;Ownership;Tags;Tech Trees / Tech Tracks;Tile Placement;Turn Order: Stat-Based;Variable Set-up,Cities: Birmingham (England);Components: Map (Regional scale);Components: Multi-Use Cards;Country: England;Country: United Kingdom;Crowdfunding: Kickstarter;Crowdfunding: Spieleschmiede;Digital Implementations: Steam;Digital Implementations: Tabletopia;Digital Implementations: VASSAL;Food & Drink: Beer;Game: Brass;History: Industrial Revolution;Misc: LongPack Games;Misc: Watch It Played How To Videos;Occupation: Engineer;Organizations: The Game Artisans of Canada;Theme: Canals,Gavan Brown;Matt Tolman;Martin Wallace,,Gavan Brown;Lina Cossette;David Forest;Gui Landgraf;Damien Mammoliti;Matt Tolman,Roxley;Arclight Games;Board Game Rookie;BoardM Factory;CMON Global Limited;Conclave Editora;CoolPlay;CrowD Games;Dexker Games;Funforge;Gém Klub Kft.;Ghenos Games;Giant Roc;Lanlalen;Lord of Boards;Maldito Games;PHALANX;Rebel Sp. z o.o.;TLAMA games;White Goblin Games;盒拍工作室 Hepa Studio,,,,,,,8.575,53548,1.42,3.87,7358,6726,5555379,1,1.0,152594,1208,76201,3420,278,1758,20334,361,147,246,310,628,1700,4500,12000,18000,15000,https://boardgamegeek.com/boardgame/224517/brass-birmingham,79.99,69.95,135.0,97.15,62.95,73.15,68.99,92.66,13.81,,,,,,,,,,,,,,,,,,,,,,
2,Mutating diseases are spreading around the world - can your team save humanity?,2,4,60.0,60.0,Pandemic Legacy: Season 1,13.0,2015.0,Environmental;Medical,Action Points;Cooperative Game;Hand Management;Legacy Game;Multi-Use Cards;Point to Point Movement;Scenario / Mission / Campaign Game;Set Collection;Tags;Trading;Variable Player Powers,Components: Map (Global Scale);Components: Multi-Use Cards;Game: Pandemic;Mechanism: Campaign Games;Mechanism: Legacy;Medical: Diseases;Misc: Limited Replayability;Misc: Made by Panda;Occupation: Dispatcher;Occupation: Medic / Doctor / Nurses;Occupation: Researcher / Scientist;Region: The World;Theme: Science;Versions & Editions: Legacy Versions of Non-Legacy Games,Rob Daviau;Matt Leacock,,Chris Quilliams,Z-Man Games;Asterion Press;Devir;Filosofia Éditions;Gém Klub Kft.;Hobby Japan;Jolly Thinkers;Korea Boardgames;Lacerta;Lifestyle Boardgames Ltd;MINDOK;Ігромаг,,,,,,,8.512,56071,1.60,2.83,8384,4221,4592660,2,3.0,301410,387,87378,12927,509,799,14478,597,265,369,414,880,2200,5000,11000,18000,17000,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,89.99,76.97,,,,,,,13.56,1.0,71.99,71.99,72.0,,,,,,,,,,,,,,,,,,
3,"Plan and build a modern, scientifically managed zoo to support conservation projects.",1,4,90.0,150.0,Ark Nova,14.0,2021.0,Animals;Card Game;Economic;Environmental,Contracts;End Game Bonuses;Events;Grid Coverage;Hand Management;Hexagon Grid;Income;Increase Value of Unchosen Resources;Open Drafting;Race;Set Collection;Solo / Solitaire Game;Tags;Tile Placement;Track Movement;Variable Player Powers;Variable Set-up,"Animals: Okapi;Components: Hexagonal Tiles;Continents: Africa;Continents: Asia;Continents: Europe;Continents: North America;Continents: South America;Country: Australia;Digital Implementations: Apple App Store;Digital Implementations: Board Game Arena;Digital Implementations: Google Play;Digital Implementations: Steam;Digital Implementations: TableTop Simulator Mod (TTS);Game: Ark Nova;Mechanism: Tableau Building;Players: Games with Solitaire Rules;Theme: Biology;Theme: Ecology;Theme: Science;Theme: Zoos, Aquaria, Safari Parks",Mathias Wigge,,Steffen Bieker;Loïc Billiau;Dennis Lohausen;Christof Tisch,Feuerland Spiele;Capstone Games;CMON Global Limited;Cranio Creations;Game Harbor;Gém Klub Kft.;Grok Games;IGAMES;Korea Boardgames;Lautapelit.fi;Ludofy Creative;Maldito Games;MINDOK;MIPL;Portal Games;Regatul Jocurilor;Super Meeple;テンデイズゲームズ (TendaysGames);Tower Tactic Games;White Goblin Games,,Steffen Bieker;Christof Tisch,,Frank Heeren;Inga Keutmann;Bastian Winkelhaus,,,8.539,54528,1.39,3.79,7213,7465,6113759,3,2.0,528979,7019,79476,3234,415,1073,16121,190,120,307,376,783,2000,5000,12000,19000,15000,https://boardgamegeek.com/boardgame/342942/ark-nova,,71.81,71.95,51.78,62.9,73.09,48.95,65.74,24.51,,74.95,,,59.96,84.99,61.16,74.99,,,,,,,,,,,,,,
4,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,1,4,60.0,120.0,Gloomhaven,14.0,2017.0,Adventure;Exploration;Fantasy;Fighting;Miniatures,Action Queue;Action Retrieval;Campaign / Battle Card Driven;Card Play Conflict Resolution;Communication Limits;Cooperative Game;Critical Hits and Failures;Deck Construction;Grid Movement;Hand Management;Hexagon Grid;Legacy Game;Line of Sight;Modular Board;Multi-Use Cards;Narrative Choice / Paragraph;Once-Per-Game Abilities;Role Playing;Scenario / Mission / Campaign Game;Simultaneous Action Selection;Solo / Solitaire Game;Storytelling;Tags;Variable Player Powers,Category: Dungeon Crawler;Components: Map (City Scale);Components: Miniatures;Components: Multi-Use Cards;Components: Standees;Creatures: Demons;Creatures: Dragons;Creatures: Monsters;Crowdfunding: Kickstarter;Digital Implementations: Steam;Digital Implementations: TableTop Simulator Mod (TTS);Game: Gloomhaven;Mechanism: Campaign Games;Mechanism: Legacy;Misc: Forteller Audio Narration;Misc: Made by Panda;Players: Games with Solitaire Rules,Isaac Childres,,Alexandr Elichev;Josh T. McDowell;Alvaro Nebot,"Cephalofair Games;Albi;Albi Polska;Arclight Games;Feuerland Spiele;Galápagos Jogos;Games Warehouse;Gém Klub Kft.;Hobby World;Korea Boardgames;MYBG Co., Ltd.",Marcel Dragomir,,,,,,8.557,65443,1.74,3.92,11396,10780,13606453,4,4.0,542336,1206,101913,8682,1210,1164,21597,705,377,613,693,1400,3000,5500,11000,17000,25000,https://boardgamegeek.com/boardgame/174430/gloomhaven,,,,,159.9,185.81,,,4.98,2.0,,,175.0,,,,,,,,,,,,,,,,,,
5,"Build an intergalactic empire through trade, research, conquest and grand politics.",3,6,240.0,480.0,Twilight Imperium: Fourth Edition,14.0,2017.0,Civilization;Economic;Exploration;Negotiation;Political;Science Fiction;Space Exploration;Territory Building;Wargame,Action Drafting;Area-Impulse;Dice Rolling;Follow;Grid Movement;Hexagon Grid;Increase Value of Unchosen Resources;King of the Hill;Modular Board;Movement Points;Race;Tech Trees / Tech Tracks;Trading;Variable Phase Order;Variable Player Powers;Variable Set-up;Voting,Components: Hexagonal Tiles;Components: Map (Interplanetary or Interstellar scale);Components: Miniatures;Game: Twilight Imperium;Mechanism: 4X;Misc: Made by Panda,Dane Beltrami;Corey Konieczka;Christian T. Petersen,,Scott Schomburg,Fantasy Flight Games;ADC Blackfire Entertainment;Arclight Games;Asterion Press;Delta Vision Publishing;Edge Entertainment;Galakta;Galápagos Jogos;Geekach LLC;Hobby World;Playfun Games;sternenschimmermeer,Dane Beltrami;Jason Walden,Shaun Boyke,,,Adam Baker;Daniel Clark (I),,8.572,26686,1.64,4.34,3972,3546,4354588,5,5.0,49484,363,32012,1738,212,1074,12449,176,148,227,269,487,1200,2400,4700,7100,10000,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,189.99,172.29,,,146.95,170.76,134.79,181.03,1.98,4.0,151.99,,151.99,,,,,151.99,,,,,,,,,,,,,
6,"Influence, intrigue, and combat in the universe of Dune.",1,4,60.0,120.0,Dune: Imperium,14.0,2020.0,Movies / TV / Radio theme;Novel-based;Political;Science Fiction,"Card Play Conflict Resolution;Deck, Bag, and Pool Building;Delayed Purchase;Force Commitment;Increase Value of Unchosen Resources;Multi-Use Cards;Open Drafting;Ownership;Race;Solo / Solitaire Game;Tags;Take That;Turn Order: Progressive;Variable Player Powers;Worker Placement",Books: Dune;Components: Meeples;Components: Multi-Use Cards;Digital Implementations: Dire Wolf Game Room;Digital Implementations: Google Play;Digital Implementations: Steam;Game: Dune: Imperium;Misc: LongPack Games;Misc: Watch It Played How To Videos;Players: Games with Solitaire Rules,Paul Dennen,,Clay Brooks;Brett Nienburg;Raul Ramos;Nate Storm,Dire Wolf;Arclight Games;Broadway Toys LTD;Galápagos Jogos;Geekach LLC;Lavka Games;Lucky Duck Games;MIPL;Reflexshop;REXhry;sternenschimmermeer;Tabletop KZ;YingDi (旅法师营地),Paul Dennen,Brett Nienburg,,,,,8.418,53995,1.28,3.07,7075,6400,5483296,6,7.0,210763,1589,72571,4236,492,1074,14792,102,89,202,320,749,2000,5800,15000,19000,11000,https://boardgamegeek.com/boardgame/316554/dune-imperium,55.0,51.98,74.99,53.97,54.5,63.33,44.99,60.42,21.99,,55.0,55.0,35.0,55.0,74.99,53.97,54.99,,,,,,,,,,,,,,
7,Compete with rival CEOs to make Mars habitable and build your corporate empire.,1,5,120.0,120.0,Terraforming Mars,12.0,2016.0,Civilization;Economic;Environmental;Industry / Manufacturing;Science Fiction;Space Exploration;Territory Building,Closed Drafting;Contracts;End Game Bonuses;Hand Management;Hexagon Grid;Income;Solo / Solitaire Game;Tags;Take That;Tile Placement;Turn Order: Progressive;Variable Player Powers;Variable Set-up,Category: Dized Tutorial;Components: Map (Global Scale);Digital Implementations: Board Game Arena;Digital Implementations: Google Play;Digital Implementations: Steam;Game: Terraforming Mars;Mechanism: Tableau Building;Occupation: Engineer;Players: Games with Solitaire Rules;Series: Terraforming Mars;Setting: Future Timeline (Fryxgames);Space: Colonization / Extraterrestrial Colonisation;Space: Earth's Solar System;Space: Jupiter;Space: Mars;Theme: Science,Jacob Fryxelius,,Isaac Fryxelius;Daniel Fryxelius,"FryxGames;Arclight Games;Brädspel.se;Fantasmagoria;Ghenos Games;Green Elephant Games;Intrafin Games;Kaissa Chess & Games;Kilogames;Korea Boardgames;Lautapelit.fi;Lavka Games;Lex Games;Maldito Games;MeepleBR;MINDOK;MIPL;MYBG Co., Ltd.;NeoTroy Games;Rebel Sp. z o.o.;Reflexshop;Schwerkraft-Verlag;Siam Board Games;Stronghold Games;SuperHeated Neurons;Surfin' Meeple China",,Isaac Fryxelius,,,,,8.347,107994,1.43,3.27,15194,11977,9788944,7,8.0,740148,3635,151245,8129,809,1890,25730,314,248,627,1000,1900,5300,13000,27000,34000,25000,https://boardgamegeek.com/boardgame/167791/terraforming-mars,,79.99,79.95,57.54,53.95,62.69,,,4.0,,58.39,,50.0,54.99,84.99,61.16,69.99,,59.99,,,,,,,,,,,,
8,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-earth.,2,4,150.0,240.0,War of the Ring: Second Edition,13.0,2011.0,Fantasy;Fighting;Novel-based;Territory Building;Wargame,Area Majority / Influence;Area Movement;Campaign / Battle Card Driven;Card Play Conflict Resolution;Dice Rolling;Events;Hand Management;Movement Points;Team-Based Game;Variable Player Powers;Variable Set-up,Authors: J.R.R. Tolkien;Category: Dized Tutorial;Components: Map (Continental / National scale);Components: Miniatures;Creatures: Monsters;Series: War of the Ring (Nexus/Ares Games);Theme: Medieval Fantasy,Roberto Di Meglio;Marco Maggi;Francesco Nepitello,,John Howe;Fabio Maiorana,Ares Games;Angry Lion Games;Devir;GaGa Games;Galakta;Geekach LLC;Heidelberger Spieleverlag;Nuts! Publishing;Planplay;Red Glove;REXhry;Schwerkraft-Verlag;Sophisticated Games;Zhiyanjia,,Fabio Maiorana,Bob Naismith,,,,8.548,23711,1.48,4.22,4059,3410,4624673,8,,42399,216,39209,2575,283,1393,12401,110,78,111,186,366,999,2300,5000,6900,7600,https://boardgamegeek.com/boardgame/115746/war-of-the-ring-second-edition,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,
9,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,2,4,180.0,240.0,Star Wars: Rebellion,14.0,2016.0,Civil War;Movies / TV / Radio theme;Science Fiction;Space Exploration;Wargame,"Area Majority / Influence;Area Movement;Card Play Conflict Resolution;Contracts;Delayed Purchase;Dice Rolling;Die Icon Resolution;Events;Hand Management;Hidden Movement;Income;Once-Per-Game Abilities;Tags;Take That;Team-Based Game;Variable Player Powers;Variable Set-up;Worker Placement, Different Worker Types",Components: Dice with Icons;Components: Map (Interplanetary or Interstellar scale);Components: Miniatures;Components: Standees;Creatures: Aliens / Extraterrestrials;Movies: Star Wars,Corey Konieczka,,Matt Allsopp;David Ardila;Balaskas;Tiziano Baracchi;Ryan Barger;Jorge Barrero;Cassandre Bolan;Jon Bosco;Matt Bradbury;Adam Burn;Alexandre Dainche;Christina Davis;Anthony Devine;Allen Douglas;Jose Mikhail Elloso;Tony Foti;Michele Frigo;Mariusz Gandzel;Zach Graves;Richard Hanuschek;Andrew Johanson;Jeff Lee Johnson;Jason Juta;Adam Lane;Ignacio Bazán Lazcano;Ralph McQuarrie;Mark Molnar;Jake Murray;Ameen Naksewee;David Auden Nash;Mike Nash;Maciej Rebisz;Alexandru Sabo;Tony Shasteen;Stephen Somers;Matthew Starbuck;Nicholas Stohlman;Angela Sung;Darren Tan;Ryan Valle;Jose Vega;VIKO;Magali Villeneuve;Jacob Walker;Ben Zweifel,Fantasy Flight Games;ADC Blackfire Entertainment;Asterion Press;Delta Vision Publishing;Edge Entertainment;Galakta;Galápagos Jogos;Geekach LLC;Heidelberger Spieleverlag;Hobby World;Korea Boardgames,Steven Kimball,David Ardila;Christopher Hosch;Samuel R. Shimota;Monica Skupa,Bexley Andrajack;Jason Beaudoin;Niklas Norman;Gary Storkamp,Adam Baker,,,8.418,34995,1.36,3.75,5244,3801,4950903,9,,55353,208,54891,3487,393,1475,14452,123,67,159,211,513,1500,3800,9000,12000,8000,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,119.99,109.99,,,,,81.95,110.06,2.75,6.0,,,95.99,,,,,,,,,,,,,,,,,,
10,"Deploy agents, build your deck, and engage in strategic battles to control Arrakis.",1,6,60.0,120.0,Dune: Imperium – Uprising,13.0,2023.0,Movies / TV / Radio theme;Novel-based;Science Fiction,"Automatic Resource Growth;Card Play Conflict Resolution;Contracts;Deck, Bag, and Pool Building;Delayed Purchase;Force Commitment;Increase Value of Unchosen Resources;Multi-Use Cards;Open Drafting;Solo / Solitaire Game;Team-Based Game;Turn Order: Progressive;Variable Player Powers;Worker Placement",Books: Dune;Game: Dune: Imperium;Misc: LongPack Games;Misc: Watch It Played How To Videos;Players: Games with Solitaire Rules,Paul Dennen,,Clay Brooks;Derek Herring;Raul Ramos;Nate Storm,Dire Wolf;Arclight Games;Galápagos Jogos;Geekach LLC;Korea Boardgames;Lavka Games;Lucky Duck Games;Reflexshop;Regatul Jocurilor;REXhry;Tabletop KZ,,,,,,,8.707,13487,1.33,3.51,1789,2323,2044365,10,6.0,39729,1099,21384,439,67,828,6566,70,25,40,63,152,314,932,2800,4800,4300,https://boardgamegeek.com/boardgame/397598/dune-imperium-uprising,60.0,56.4,79.99,57.56,62.9,73.09,43.95,59.03,57.11,,60.0,60.0,60.0,60.0,79.99,57.56,59.99,,,,,,,,,,,,,,
