,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Interior Color,Seats,Registered Car,Exchange Possible,Price,Location,VIN Chassis number,Registered city,Selling Condition,Bought Condition
0,No faults,Ford,Edge,2013,Limited 4dr AWD (3.5L 6cyl 6A),SUV,All Wheel,3500 cc,6,285 hp,White,Brown,5,No,No,12000000.0,Lagos,,,,
1,"No faults, Unpainted, Original parts",Nissan,Micra,2005,,,,,,,Black,Other,,No,Yes,4000000.0,Oyo,,,,
2,"First owner, First registration",Lexus,RX,2002,,,,,,,Gray,Beige,,Yes,,4200000.0,Rivers,,,,
3,,BMW,7 Series,2009,,,,,,,Silver,,,,,12500000.0,Kaduna,,,,
4,No faults,Lexus,GX,2017,460 Luxury,SUV,4x4,4600 cc,8,301 hp,Red,Other,7,No,,58000000.0,Lagos,JTJBM7FXXH5******,,,
5,,Kia,Cerato,2013,,,,,,,Black,Other,,Yes,No,5700000.0,Lagos,,,,
6,No faults,Lexus,RX 350,2017,,,,,,,Black,Beige,,No,,50000000.0,Lagos,,,,
7,No faults,Toyota,Corolla,2013,S 4dr Sedan (1.8L 4cyl 4A),Sedan,Front,1800 cc,4,132 hp,Black,Black,5,No,,12850000.0,Lagos,,,,
8,"First owner, First registration, Original parts",Toyota,Corolla,2005,LE,Sedan,Front,1800 cc,4,132 hp,Gray,Other,5,Yes,,5000000.0,Lagos,,,,
9,,Toyota,Highlander,2013,Limited 3.5l 4WD,SUV,All Wheel,3500 cc,6,270 hp,Blue,White,5,No,,22500000.0,Lagos,,,,
10,No faults,Ford,F-150,2008,SuperCrew,,,,,,Red,Other,,No,,9850000.0,Lagos,,,,
11,No faults,Toyota,Sienna,2006,XLE Limited AWD,Minivan,All Wheel,3300 cc,6,215 hp,White,Brown,7,No,,13200000.0,Lagos,,,,
12,,Hyundai,Santa Fe,2014,,,,,,,Silver,,,,,20500000.0,Abuja,,,,
13,No faults,Mercedes-Benz,GLE-Class,2018,GLE 350d 4MATIC,SUV,All Wheel,3000 cc,6,254 hp,White,Black,5,No,Yes,43000000.0,Lagos,,,,
14,No faults,Ford,F-150,2013,FX4,Pickup,All Wheel,5000 cc,8,360 hp,White,White,3,No,No,10000000.0,Lagos,,,,
15,No faults,Toyota,Highlander,2024,XSE AWD,,,,,,Gray,,,,,103000000.0,Lagos,,,,
16,"Original parts, Unpainted, No faults",Toyota,Highlander,2017,,,,,,,Gray,Black,,No,,39500000.0,Lagos,,,,
17,,Ford,Edge,2023,SE AWD,SUV,,,,,Green,Other,,,,70000000.0,Abuja,,,,
18,,Volkswagen,Passat,2017,1.8T S 4dr Sedan (1.8L 4cyl),Sedan,Front Wheel,1800 cc,4,,Silver,Black,5,Yes,,18000000.0,Abuja,,,,
19,No faults,Nissan,X-Trail,2005,,,,,,,Black,Brown,,Yes,Yes,3500000.0,Lagos,,,,
