,date,home_team,scoreline,away_team
0,17-08-2024,Arsenal,2 - 0,Wolves
1,24-08-2024,Aston Villa,0 - 2,Arsenal
2,31-08-2024,Arsenal,1 - 1,Brighton
3,15-09-2024,Tottenham,0 - 1,Arsenal
4,22-09-2024,Man City,2 - 2,Arsenal
5,28-09-2024,Arsenal,4 - 2,Leicester
6,05-10-2024,Arsenal,3 - 1,Southampton
7,19-10-2024,Bournemouth,2 - 0,Arsenal
8,27-10-2024,Arsenal,2 - 2,Liverpool
9,02-11-2024,Newcastle,1 - 0,Arsenal
10,17-08-2024,West Ham,1 - 2,Aston Villa
11,24-08-2024,Aston Villa,0 - 2,Arsenal
12,31-08-2024,Leicester,1 - 2,Aston Villa
13,14-09-2024,Aston Villa,3 - 2,Everton
14,21-09-2024,Aston Villa,3 - 1,Wolves
15,29-09-2024,Ipswich,2 - 2,Aston Villa
16,06-10-2024,Aston Villa,0 - 0,Man United
17,19-10-2024,Fulham,1 - 3,Aston Villa
18,26-10-2024,Aston Villa,1 - 1,Bournemouth
19,03-11-2024,Tottenham,4 - 1,Aston Villa
20,17-08-2024,Nott'm Forest,1 - 1,Bournemouth
21,25-08-2024,Bournemouth,1 - 1,Newcastle
22,31-08-2024,Everton,2 - 3,Bournemouth
23,14-09-2024,Bournemouth,0 - 1,Chelsea
24,21-09-2024,Liverpool,3 - 0,Bournemouth
25,30-09-2024,Bournemouth,3 - 1,Southampton
26,05-10-2024,Leicester,1 - 0,Bournemouth
27,19-10-2024,Bournemouth,2 - 0,Arsenal
28,26-10-2024,Aston Villa,1 - 1,Bournemouth
29,02-11-2024,Bournemouth,2 - 1,Man City
30,18-08-2024,Brentford,2 - 1,Crystal Palace
31,25-08-2024,Liverpool,2 - 0,Brentford
32,31-08-2024,Brentford,3 - 1,Southampton
33,14-09-2024,Man City,2 - 1,Brentford
34,21-09-2024,Tottenham,3 - 1,Brentford
35,28-09-2024,Brentford,1 - 1,West Ham
36,05-10-2024,Brentford,5 - 3,Wolves
